epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,7939.9,0.58127,0.97518,1.05496,0.95377,0.96316,0.97975,0.79993,0.74349,0.96734,1.18674,6.7184e-05,6.7184e-05,6.7184e-05
42,8133.77,0.5419,0.90539,1.02522,0.93725,0.94919,0.97579,0.79113,0.73677,0.95459,1.19269,6.07886e-05,6.07886e-05,6.07886e-05
43,8323.47,0.54186,0.884,1.02303,0.93015,0.94286,0.97257,0.79552,0.73912,0.95702,1.19775,5.43932e-05,5.43932e-05,5.43932e-05
44,8516.59,0.51971,0.86744,0.99935,0.9584,0.95337,0.97495,0.80377,0.73593,0.91498,1.19227,4.79978e-05,4.79978e-05,4.79978e-05
45,8707.87,0.52756,0.84024,1.01294,0.95644,0.93022,0.97487,0.80138,0.72448,0.92453,1.17031,4.16024e-05,4.16024e-05,4.16024e-05
46,8893.78,0.50651,0.84012,0.99868,0.95997,0.94129,0.97636,0.79982,0.7182,0.90233,1.16351,3.5207e-05,3.5207e-05,3.5207e-05
47,9080.68,0.50596,0.82741,1.00693,0.95823,0.94882,0.97449,0.79799,0.72696,0.89987,1.17561,2.88116e-05,2.88116e-05,2.88116e-05
48,9268.47,0.49703,0.81921,0.98581,0.95352,0.94818,0.97525,0.80543,0.71226,0.89105,1.16199,2.24162e-05,2.24162e-05,2.24162e-05
49,9457.96,0.48158,0.81046,0.97937,0.9643,0.93563,0.97655,0.80905,0.71943,0.8889,1.16858,1.60208e-05,1.60208e-05,1.60208e-05
50,9656.76,0.49138,0.80335,0.99055,0.96072,0.9335,0.97565,0.8066,0.7154,0.88462,1.16559,9.6254e-06,9.6254e-06,9.6254e-06
